Date,channel1,channel2,channel3,channel4,Qfactor1,Qfactor2,Qfactor3,Qfactor4
27/12/2023 06:04,0.008188229,0.003962393,6.54E-06,9.57E-06,7.605729522,8.482133294,12.787264,12.6181006
27/12/2023 06:19,0.008244558,0.004019032,6.52E-06,9.60E-06,7.596641489,8.466447191,12.78859971,12.61668336
27/12/2023 06:34,0.00816259,0.003957683,6.33E-06,9.43E-06,7.609881114,8.483445465,12.80147703,12.62476771
27/12/2023 06:49,0.00815702,0.003962607,6.35E-06,9.07E-06,7.610784288,8.482073704,12.80010519,12.64233006
27/12/2023 07:04,0.008194117,0.003959869,7.25E-06,8.80E-06,7.604777441,8.482836312,12.74208599,12.65591883
27/12/2023 07:19,0.008200058,0.003975491,7.80E-06,8.36E-06,7.603817294,8.47849058,12.70975798,12.67889033
27/12/2023 07:34,0.008359565,0.004070411,8.30E-06,8.54E-06,7.578225397,8.452364005,12.68210683,12.66936416
27/12/2023 07:49,0.008366793,0.004111911,8.89E-06,8.06E-06,7.577074126,8.441087936,12.651348,12.69518618
27/12/2023 08:04,0.008381357,0.004109188,9.58E-06,8.02E-06,7.574756568,8.441825127,12.61762774,12.69740014
27/12/2023 08:19,0.008376041,0.004086392,9.95E-06,7.75E-06,7.57560216,8.448011373,12.60043707,12.71261039
27/12/2023 08:34,0.008323469,0.004092064,9.43E-06,7.83E-06,7.583985568,8.44646967,12.62476771,12.70805444
27/12/2023 08:49,0.008299681,0.004102735,9.79E-06,7.75E-06,7.587791545,8.443573628,12.60779904,12.71261039
27/12/2023 09:04,0.008341263,0.004074727,9.52E-06,7.60E-06,7.581143758,8.451187196,12.62047157,12.72126837
27/12/2023 09:19,0.008270077,0.004077716,9.33E-06,7.16E-06,7.59253912,8.45037277,12.62958473,12.74758562
27/12/2023 09:34,0.008202325,0.004005438,8.41E-06,6.86E-06,7.603451049,8.47019647,12.67622576,12.76637993
27/12/2023 09:49,0.008148293,0.00399949,7.93E-06,6.92E-06,7.612200269,8.471840025,12.70241821,12.76256247
27/12/2023 10:04,0.008097543,0.003935539,7.55E-06,6.96E-06,7.620456512,8.489630756,12.72418865,12.76003407
27/12/2023 10:19,0.008113181,0.003965827,7.69E-06,6.95E-06,7.617908452,8.481177363,12.71605528,12.76066494
27/12/2023 10:34,0.008168216,0.003990526,7.44E-06,6.86E-06,7.608969315,8.474320515,12.73067521,12.76637993
27/12/2023 10:49,0.008158895,0.003989447,7.26E-06,6.75E-06,7.610480207,8.474619381,12.74147873,12.77345764
27/12/2023 11:04,0.008200913,0.004052412,7.02E-06,7.03E-06,7.603679156,8.457281994,12.75626597,12.75564079
27/12/2023 11:19,0.008269218,0.00406859,7.21E-06,6.88E-06,7.592677061,8.45286081,12.74452261,12.76510411
30/12/2023 18:23,0.008642922,0.003908964,8.49E-06,1.52E-06,7.533621652,8.497089151,12.67199202,13.38280042
30/12/2023 18:38,0.008829346,0.003890215,9.97E-06,1.19E-06,7.504849564,8.502374643,12.59952433,13.47543329
30/12/2023 18:53,0.008613092,0.003909104,2.09E-05,2.51E-06,7.53826699,8.497049757,12.2499518,13.18681787
30/12/2023 19:08,0.008404692,0.003964485,6.55E-06,7.63E-06,7.571049362,8.481550863,12.78659753,12.71952451
30/12/2023 19:23,0.008480324,0.003952555,1.19E-05,3.00E-06,7.559084782,8.484875453,12.51836034,13.11503811
30/12/2023 19:38,0.008648778,0.003961023,1.15E-05,1.73E-06,7.532711075,8.482514842,12.53415604,13.33304307
30/12/2023 19:53,0.008427076,0.003958296,1.77E-05,2.41E-06,7.567500239,8.48327462,12.33080922,13.20302411
30/12/2023 20:08,0.008403701,0.003972674,3.58E-05,1.64E-06,7.571206649,8.479273243,11.97779087,13.35365106
30/12/2023 20:23,0.008376716,0.003963462,4.68E-05,1.27E-06,7.57549477,8.481835645,11.8360014,13.45099374
31/12/2023 01:15,0.00816858,0.003935743,8.61E-06,1.93E-05,7.608910337,8.489573653,12.66570835,12.28888192
31/12/2023 01:30,0.008182917,0.003854907,7.74E-06,2.01E-05,7.606588891,8.512381704,12.71318286,12.26907096
31/12/2023 01:45,0.008287846,0.003941242,5.42E-06,1.42E-05,7.589688041,8.488035234,12.86846379,12.43584067
31/12/2023 02:00,0.008747885,0.004066245,5.23E-06,6.93E-06,7.517367543,8.453500823,12.88372639,12.76192913
31/12/2023 02:15,0.008398079,0.004089104,3.87E-05,1.21E-05,7.572099204,8.447274021,11.9370226,12.51064056
31/12/2023 02:30,0.00845457,0.004153461,6.48E-05,8.19E-06,7.563150222,8.429885362,11.65766284,12.68805861
31/12/2023 02:45,0.008400986,0.004195627,2.90E-05,1.21E-05,7.571637632,8.418604151,12.08625673,12.51064056
31/12/2023 03:00,0.008182804,0.004038084,7.96E-06,1.79E-05,7.606607176,8.461208928,12.70073984,12.3253873
31/12/2023 03:15,0.008175187,0.003968784,3.98E-05,1.12E-05,7.607840165,8.480354725,11.92226376,12.54633015
31/12/2023 03:30,0.008276889,0.004037725,7.69E-05,2.92E-06,7.591445593,8.461307458,11.56097833,13.125991
31/12/2023 03:45,0.00819573,0.004002709,7.68E-05,2.86E-06,7.604516708,8.470950316,11.56172094,13.13438645
31/12/2023 04:00,0.008130099,0.003982568,7.13E-05,3.59E-06,7.615155845,8.476526217,11.60393003,13.04160183
31/12/2023 04:15,0.008029003,0.003909439,6.56E-05,3.97E-06,7.631666829,8.496955498,11.65080079,12.9999212
31/12/2023 04:30,0.007819757,0.003777338,6.94E-05,3.54E-06,7.666327538,8.534616856,11.61917635,13.04738171
