Description for merged_1007.mat
=====================================
Link: Bristol ↔ BDFI, bidirectional, daily acquisition.
Sampling rate: 97656.250 Hz (Ts=1.024000e-05 s)
Total samples: 24707072
Blocks: 1508

Each CSV contains: Time (datetime), S1, S2, S3 (Stokes parameters).

Blocks overview:
  Block   58: 0058_PM1000_20251006_105301_2025-10-07_00-58-09.mat.csv | samples=16384 | start=2025/10/07 00:58:06.889862000 | end=2025/10/07 00:58:07.057623920
  Block   59: 0059_PM1000_20251006_105301_2025-10-07_00-59-00.mat.csv | samples=16384 | start=2025/10/07 00:58:57.590561000 | end=2025/10/07 00:58:57.758322920
  Block   60: 0060_PM1000_20251006_105301_2025-10-07_00-59-50.mat.csv | samples=16384 | start=2025/10/07 00:59:48.255092000 | end=2025/10/07 00:59:48.422853920
  Block   61: 0061_PM1000_20251006_105301_2025-10-07_01-00-41.mat.csv | samples=16384 | start=2025/10/07 01:00:38.882655000 | end=2025/10/07 01:00:39.050416919
  Block   62: 0062_PM1000_20251006_105301_2025-10-07_01-01-32.mat.csv | samples=16384 | start=2025/10/07 01:01:29.570203000 | end=2025/10/07 01:01:29.737964920
  Block   63: 0063_PM1000_20251006_105301_2025-10-07_01-03-22.mat.csv | samples=16384 | start=2025/10/07 01:02:20.454552000 | end=2025/10/07 01:02:20.622313920
  Block   64: 0064_PM1000_20251006_105301_2025-10-07_01-04-12.mat.csv | samples=16384 | start=2025/10/07 01:04:10.213216000 | end=2025/10/07 01:04:10.380977919
  Block   65: 0065_PM1000_20251006_105301_2025-10-07_01-05-03.mat.csv | samples=16384 | start=2025/10/07 01:05:00.650979000 | end=2025/10/07 01:05:00.818740920
  Block   66: 0066_PM1000_20251006_105301_2025-10-07_01-05-53.mat.csv | samples=16384 | start=2025/10/07 01:05:51.319777000 | end=2025/10/07 01:05:51.487538920
  Block   67: 0067_PM1000_20251006_105301_2025-10-07_01-06-44.mat.csv | samples=16384 | start=2025/10/07 01:06:42.035922000 | end=2025/10/07 01:06:42.203683920
  Block   68: 0068_PM1000_20251006_105301_2025-10-07_01-07-35.mat.csv | samples=16384 | start=2025/10/07 01:07:32.652539000 | end=2025/10/07 01:07:32.820300920
  Block   69: 0069_PM1000_20251006_105301_2025-10-07_01-08-25.mat.csv | samples=16384 | start=2025/10/07 01:08:23.290851000 | end=2025/10/07 01:08:23.458612920
  Block   70: 0070_PM1000_20251006_105301_2025-10-07_01-09-16.mat.csv | samples=16384 | start=2025/10/07 01:09:14.068822000 | end=2025/10/07 01:09:14.236583919
  Block   71: 0071_PM1000_20251006_105301_2025-10-07_01-10-07.mat.csv | samples=16384 | start=2025/10/07 01:10:04.735149000 | end=2025/10/07 01:10:04.902910920
  Block   72: 0072_PM1000_20251006_105301_2025-10-07_01-10-58.mat.csv | samples=16384 | start=2025/10/07 01:10:55.455895000 | end=2025/10/07 01:10:55.623656920
  Block   73: 0073_PM1000_20251006_105301_2025-10-07_01-11-48.mat.csv | samples=16384 | start=2025/10/07 01:11:46.111967000 | end=2025/10/07 01:11:46.279728920
  Block   74: 0074_PM1000_20251006_105301_2025-10-07_01-12-39.mat.csv | samples=16384 | start=2025/10/07 01:12:36.880316000 | end=2025/10/07 01:12:37.048077920
  Block   75: 0075_PM1000_20251006_105301_2025-10-07_01-14-29.mat.csv | samples=16384 | start=2025/10/07 01:13:27.541123000 | end=2025/10/07 01:13:27.708884920
  Block   76: 0076_PM1000_20251006_105301_2025-10-07_01-15-19.mat.csv | samples=16384 | start=2025/10/07 01:15:17.241004000 | end=2025/10/07 01:15:17.408765920
  Block   77: 0077_PM1000_20251006_105301_2025-10-07_01-16-10.mat.csv | samples=16384 | start=2025/10/07 01:16:08.028168000 | end=2025/10/07 01:16:08.195929920
  Block   78: 0078_PM1000_20251006_105301_2025-10-07_01-17-01.mat.csv | samples=16384 | start=2025/10/07 01:16:58.912643000 | end=2025/10/07 01:16:59.080404920
  Block   79: 0079_PM1000_20251006_105301_2025-10-07_01-17-52.mat.csv | samples=16384 | start=2025/10/07 01:17:50.151008000 | end=2025/10/07 01:17:50.318769920
  Block   80: 0080_PM1000_20251006_105301_2025-10-07_01-18-43.mat.csv | samples=16384 | start=2025/10/07 01:18:40.802714000 | end=2025/10/07 01:18:40.970475920
  Block   81: 0081_PM1000_20251006_105301_2025-10-07_01-19-34.mat.csv | samples=16384 | start=2025/10/07 01:19:31.485921000 | end=2025/10/07 01:19:31.653682920
  Block   82: 0082_PM1000_20251006_105301_2025-10-07_01-20-24.mat.csv | samples=16384 | start=2025/10/07 01:20:22.206728000 | end=2025/10/07 01:20:22.374489920
  Block   83: 0083_PM1000_20251006_105301_2025-10-07_01-21-15.mat.csv | samples=16384 | start=2025/10/07 01:21:13.001437000 | end=2025/10/07 01:21:13.169198920
  Block   84: 0084_PM1000_20251006_105301_2025-10-07_01-22-06.mat.csv | samples=16384 | start=2025/10/07 01:22:03.813562000 | end=2025/10/07 01:22:03.981323920
  Block   85: 0085_PM1000_20251006_105301_2025-10-07_01-22-57.mat.csv | samples=16384 | start=2025/10/07 01:22:54.593443000 | end=2025/10/07 01:22:54.761204920
  Block   86: 0086_PM1000_20251006_105301_2025-10-07_01-23-48.mat.csv | samples=16384 | start=2025/10/07 01:23:45.454374000 | end=2025/10/07 01:23:45.622135920
  Block   87: 0087_PM1000_20251006_105301_2025-10-07_01-24-38.mat.csv | samples=16384 | start=2025/10/07 01:24:35.909723000 | end=2025/10/07 01:24:36.077484919
  Block   88: 0088_PM1000_20251006_105301_2025-10-07_01-25-29.mat.csv | samples=16384 | start=2025/10/07 01:25:26.745152000 | end=2025/10/07 01:25:26.912913920
  Block   89: 0089_PM1000_20251006_105301_2025-10-07_01-26-20.mat.csv | samples=16384 | start=2025/10/07 01:26:17.524736000 | end=2025/10/07 01:26:17.692497920
  Block   90: 0090_PM1000_20251006_105301_2025-10-07_01-27-10.mat.csv | samples=16384 | start=2025/10/07 01:27:08.277422000 | end=2025/10/07 01:27:08.445183920
  Block   91: 0091_PM1000_20251006_105301_2025-10-07_01-29-00.mat.csv | samples=16384 | start=2025/10/07 01:27:59.007813000 | end=2025/10/07 01:27:59.175574920
  Block   92: 0092_PM1000_20251006_105301_2025-10-07_01-29-51.mat.csv | samples=16384 | start=2025/10/07 01:29:48.815770000 | end=2025/10/07 01:29:48.983531920
  Block   93: 0093_PM1000_20251006_105301_2025-10-07_01-30-42.mat.csv | samples=16384 | start=2025/10/07 01:30:39.558428000 | end=2025/10/07 01:30:39.726189920
  Block   94: 0094_PM1000_20251006_105301_2025-10-07_01-31-32.mat.csv | samples=16384 | start=2025/10/07 01:31:30.326861000 | end=2025/10/07 01:31:30.494622920
  Block   95: 0095_PM1000_20251006_105301_2025-10-07_01-32-23.mat.csv | samples=16384 | start=2025/10/07 01:32:21.287555000 | end=2025/10/07 01:32:21.455316919
  Block   96: 0096_PM1000_20251006_105301_2025-10-07_01-33-14.mat.csv | samples=16384 | start=2025/10/07 01:33:11.916735000 | end=2025/10/07 01:33:12.084496920
  Block   97: 0097_PM1000_20251006_105301_2025-10-07_01-34-05.mat.csv | samples=16384 | start=2025/10/07 01:34:02.576853000 | end=2025/10/07 01:34:02.744614920
  Block   98: 0098_PM1000_20251006_105301_2025-10-07_01-34-55.mat.csv | samples=16384 | start=2025/10/07 01:34:53.051332000 | end=2025/10/07 01:34:53.219093920
  Block   99: 0099_PM1000_20251006_105301_2025-10-07_01-35-46.mat.csv | samples=16384 | start=2025/10/07 01:35:43.867599000 | end=2025/10/07 01:35:44.035360920
  Block  100: 0100_PM1000_20251006_105301_2025-10-07_01-36-37.mat.csv | samples=16384 | start=2025/10/07 01:36:34.568746000 | end=2025/10/07 01:36:34.736507920
  Block  101: 0101_PM1000_20251006_105301_2025-10-07_01-38-26.mat.csv | samples=16384 | start=2025/10/07 01:37:25.326475000 | end=2025/10/07 01:37:25.494236920
  Block  102: 0102_PM1000_20251006_105301_2025-10-07_01-40-16.mat.csv | samples=16384 | start=2025/10/07 01:39:15.120254000 | end=2025/10/07 01:39:15.288015920
  Block  103: 0103_PM1000_20251006_105301_2025-10-07_01-42-06.mat.csv | samples=16384 | start=2025/10/07 01:41:04.740234000 | end=2025/10/07 01:41:04.907995920
  Block  104: 0104_PM1000_20251006_105301_2025-10-07_01-43-56.mat.csv | samples=16384 | start=2025/10/07 01:42:54.457170000 | end=2025/10/07 01:42:54.624931920
  Block  105: 0105_PM1000_20251006_105301_2025-10-07_01-44-46.mat.csv | samples=16384 | start=2025/10/07 01:44:44.032888000 | end=2025/10/07 01:44:44.200649920
