Time_Start,Time_End,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
2024-01-15 21:31:03,2024-01-15 21:45:56,0.008620302596491228,0.004724653695906433,4.5578079941520475e-05,6.452017818713448e-07,0.0,0.0,0.0,0.0
2024-01-15 21:46:06,2024-01-15 22:00:58,0.00874659127058823,0.004832790829411765,4.665112811764705e-05,6.991273064705884e-07,0.0,0.0,0.0,0.0
2024-01-15 22:01:01,2024-01-15 22:15:49,0.008863893837349403,0.004905173355421684,4.607543939759037e-05,7.067554933734937e-07,0.0,0.0,0.0,0.0
2024-01-15 22:16:01,2024-01-15 22:30:58,0.008957817287425151,0.004976956550898203,4.791772520958083e-05,6.988140694610777e-07,0.0,0.0,0.0,0.0
2024-01-15 22:31:00,2024-01-15 22:45:49,0.008931860987730062,0.004980014257668711,4.930163625766872e-05,6.926855521472395e-07,0.0,0.0,0.0,0.0
2024-01-15 22:46:00,2024-01-15 23:00:59,0.008912926660818717,0.004971273614035086,4.8808695730994155e-05,6.810666023391813e-07,0.0,0.0,0.0,0.0
2024-01-15 23:01:09,2024-01-15 23:15:55,0.008911315434523807,0.004958156714285712,4.65016879761905e-05,7.522897773809531e-07,0.0,0.0,0.0,0.0
2024-01-15 23:16:06,2024-01-15 23:30:50,0.00888172373214286,0.004954625869047619,4.6893675178571465e-05,7.64821085714286e-07,0.0,0.0,0.0,0.0
2024-01-15 23:31:00,2024-01-15 23:45:59,0.008883410794117641,0.004950299976470588,4.310930835294119e-05,7.221680135294119e-07,0.0,0.0,0.0,0.0
2024-01-15 23:46:01,2024-01-16 00:00:59,0.008805137266272186,0.004853717485207099,3.6668823846153856e-05,6.876063201183434e-07,0.0,0.0,0.0,0.0
2024-01-16 00:01:09,2024-01-16 00:15:52,0.008777198875,0.004816337309523809,3.6886677202380956e-05,7.152571327380954e-07,0.0,0.0,0.0,0.0
2024-01-16 00:16:02,2024-01-16 00:30:57,0.00877851819642857,0.004831571434523808,3.665456642857141e-05,7.53921320238096e-07,0.0,0.0,0.0,0.0
2024-01-16 00:31:08,2024-01-16 00:45:55,0.00865452713095238,0.004754028017857142,3.8016572321428554e-05,7.311333666666671e-07,0.0,0.0,0.0,0.0
2024-01-16 00:46:06,2024-01-16 01:00:52,0.008676526994047615,0.004746390553571429,3.680569559523807e-05,7.641303988095243e-07,0.0,0.0,0.0,0.0
2024-01-16 01:01:03,2024-01-16 01:15:50,0.008662330041666668,0.004744090964285716,3.616032309523811e-05,7.814660934523811e-07,0.0,0.0,0.0,0.0
2024-01-16 01:16:01,2024-01-16 01:30:59,0.008677213643274853,0.004746793988304093,3.895319824561404e-05,8.022422116959065e-07,0.0,0.0,0.0,0.0
2024-01-16 01:31:10,2024-01-16 01:45:54,0.008743442803571432,0.004801236380952382,4.0643706964285714e-05,8.284557321428564e-07,0.0,0.0,0.0,0.0
2024-01-16 01:46:05,2024-01-16 02:00:59,0.008758069511764706,0.004814272247058825,4.404308117647058e-05,8.858956676470588e-07,0.0,0.0,0.0,0.0
2024-01-16 02:01:02,2024-01-16 02:15:55,0.008741981556213018,0.004789137289940826,4.394318952662722e-05,9.946004355029586e-07,0.0,0.0,0.0,0.0
2024-01-16 02:16:06,2024-01-16 02:30:52,0.008762795763636361,0.004788828345454546,4.3931162303030306e-05,9.288518339393943e-07,0.0,0.0,0.0,0.0
2024-01-16 02:31:03,2024-01-16 02:45:52,0.008788826769696965,0.004792396375757573,4.142292769696972e-05,9.430934303030303e-07,0.0,0.0,0.0,0.0
2024-01-16 02:46:02,2024-01-16 03:00:57,0.008774077741176469,0.004791840858823525,4.054484505882354e-05,9.224319182352946e-07,0.0,0.0,0.0,0.0
2024-01-16 03:01:00,2024-01-16 03:15:58,0.008764554196428569,0.00478658767857143,3.9361606428571454e-05,8.897831107142861e-07,0.0,0.0,0.0,0.0
2024-01-16 03:16:00,2024-01-16 03:30:55,0.008763364822485206,0.004778427822485205,3.988477059171596e-05,8.607128029585793e-07,0.0,0.0,0.0,0.0
2024-01-16 03:31:06,2024-01-16 03:45:50,0.008719135708333334,0.004773118119047617,3.777998690476192e-05,7.813934821428572e-07,0.0,0.0,0.0,0.0
2024-01-16 03:46:00,2024-01-16 04:00:51,0.00870243964285714,0.0047974021011904745,3.541157619047618e-05,7.540344660714286e-07,0.0,0.0,0.0,0.0
2024-01-16 04:01:02,2024-01-16 04:15:49,0.008770320166666668,0.004830917839506177,3.3539243395061706e-05,7.935940080246915e-07,0.0,0.0,0.0,0.0
