Description for 1011.mat
=====================================
Link: Bristol ↔ BDFI, bidirectional, daily acquisition.
Sampling rate: 97656.250 Hz (Ts=1.024000e-05 s)
Total samples: 13910016
Blocks: 849

Each CSV contains: Time (datetime), S1, S2, S3 (Stokes parameters).

Blocks overview:
  Block   59: 0059_PM1000_20251011_111803_2025-10-11_12-27-54.mat.csv | samples=16384 | start=2025/10/11 12:26:50.672537000 | end=2025/10/11 12:26:50.840298920
  Block   60: 0060_PM1000_20251011_111803_2025-10-11_12-28-45.mat.csv | samples=16384 | start=2025/10/11 12:28:42.561054000 | end=2025/10/11 12:28:42.728815920
  Block   61: 0061_PM1000_20251011_111803_2025-10-11_12-29-36.mat.csv | samples=16384 | start=2025/10/11 12:29:33.692258000 | end=2025/10/11 12:29:33.860019920
  Block   62: 0062_PM1000_20251011_111803_2025-10-11_12-30-28.mat.csv | samples=16384 | start=2025/10/11 12:30:25.975696000 | end=2025/10/11 12:30:26.143457920
  Block   63: 0063_PM1000_20251011_111803_2025-10-11_12-31-19.mat.csv | samples=16384 | start=2025/10/11 12:31:16.759753000 | end=2025/10/11 12:31:16.927514920
  Block   64: 0064_PM1000_20251011_111803_2025-10-11_12-33-11.mat.csv | samples=16384 | start=2025/10/11 12:32:08.052218000 | end=2025/10/11 12:32:08.219979920
  Block   65: 0065_PM1000_20251011_111803_2025-10-11_12-34-02.mat.csv | samples=16384 | start=2025/10/11 12:33:59.996766000 | end=2025/10/11 12:34:00.164527920
  Block   66: 0066_PM1000_20251011_111803_2025-10-11_12-34-53.mat.csv | samples=16384 | start=2025/10/11 12:34:50.886533000 | end=2025/10/11 12:34:51.054294920
  Block   67: 0067_PM1000_20251011_111803_2025-10-11_12-35-44.mat.csv | samples=16384 | start=2025/10/11 12:35:41.917701000 | end=2025/10/11 12:35:42.085462920
  Block   68: 0068_PM1000_20251011_111803_2025-10-11_12-36-35.mat.csv | samples=16384 | start=2025/10/11 12:36:33.101643999 | end=2025/10/11 12:36:33.269405919
  Block   69: 0069_PM1000_20251011_111803_2025-10-11_12-37-26.mat.csv | samples=16384 | start=2025/10/11 12:37:24.014407000 | end=2025/10/11 12:37:24.182168920
  Block   70: 0070_PM1000_20251011_111803_2025-10-11_12-39-18.mat.csv | samples=16384 | start=2025/10/11 12:38:15.045560000 | end=2025/10/11 12:38:15.213321920
  Block   71: 0071_PM1000_20251011_111803_2025-10-11_12-40-10.mat.csv | samples=16384 | start=2025/10/11 12:40:07.551505000 | end=2025/10/11 12:40:07.719266920
  Block   72: 0072_PM1000_20251011_111803_2025-10-11_12-41-00.mat.csv | samples=16384 | start=2025/10/11 12:40:58.144480000 | end=2025/10/11 12:40:58.312241920
  Block   73: 0073_PM1000_20251011_111803_2025-10-11_12-41-51.mat.csv | samples=16384 | start=2025/10/11 12:41:49.010994000 | end=2025/10/11 12:41:49.178755920
  Block   74: 0074_PM1000_20251011_111803_2025-10-11_12-42-42.mat.csv | samples=16384 | start=2025/10/11 12:42:39.909995000 | end=2025/10/11 12:42:40.077756920
  Block   75: 0075_PM1000_20251011_111803_2025-10-11_12-43-33.mat.csv | samples=16384 | start=2025/10/11 12:43:30.895906000 | end=2025/10/11 12:43:31.063667919
  Block   76: 0076_PM1000_20251011_111803_2025-10-11_12-44-24.mat.csv | samples=16384 | start=2025/10/11 12:44:21.764675000 | end=2025/10/11 12:44:21.932436920
  Block   77: 0077_PM1000_20251011_111803_2025-10-11_12-45-15.mat.csv | samples=16384 | start=2025/10/11 12:45:12.928167000 | end=2025/10/11 12:45:13.095928919
  Block   78: 0078_PM1000_20251011_111803_2025-10-11_12-46-06.mat.csv | samples=16384 | start=2025/10/11 12:46:03.919536000 | end=2025/10/11 12:46:04.087297920
  Block   79: 0079_PM1000_20251011_111803_2025-10-11_12-46-57.mat.csv | samples=16384 | start=2025/10/11 12:46:55.145174000 | end=2025/10/11 12:46:55.312935920
  Block   80: 0080_PM1000_20251011_111803_2025-10-11_12-47-48.mat.csv | samples=16384 | start=2025/10/11 12:47:46.496504000 | end=2025/10/11 12:47:46.664265920
  Block   81: 0081_PM1000_20251011_111803_2025-10-11_12-48-39.mat.csv | samples=16384 | start=2025/10/11 12:48:37.489538000 | end=2025/10/11 12:48:37.657299919
  Block   82: 0082_PM1000_20251011_111803_2025-10-11_12-49-30.mat.csv | samples=16384 | start=2025/10/11 12:49:28.314272000 | end=2025/10/11 12:49:28.482033919
  Block   83: 0083_PM1000_20251011_111803_2025-10-11_12-50-21.mat.csv | samples=16384 | start=2025/10/11 12:50:19.467397000 | end=2025/10/11 12:50:19.635158920
  Block   84: 0084_PM1000_20251011_111803_2025-10-11_12-51-12.mat.csv | samples=16384 | start=2025/10/11 12:51:10.488544000 | end=2025/10/11 12:51:10.656305920
  Block   85: 0085_PM1000_20251011_111803_2025-10-11_12-52-03.mat.csv | samples=16384 | start=2025/10/11 12:52:00.905682000 | end=2025/10/11 12:52:01.073443920
  Block   86: 0086_PM1000_20251011_111803_2025-10-11_12-52-54.mat.csv | samples=16384 | start=2025/10/11 12:52:51.705865000 | end=2025/10/11 12:52:51.873626920
  Block   87: 0087_PM1000_20251011_111803_2025-10-11_12-53-45.mat.csv | samples=16384 | start=2025/10/11 12:53:42.602891000 | end=2025/10/11 12:53:42.770652920
  Block   88: 0088_PM1000_20251011_111803_2025-10-11_12-54-36.mat.csv | samples=16384 | start=2025/10/11 12:54:33.538507000 | end=2025/10/11 12:54:33.706268920
  Block   89: 0089_PM1000_20251011_111803_2025-10-11_12-55-26.mat.csv | samples=16384 | start=2025/10/11 12:55:24.489084000 | end=2025/10/11 12:55:24.656845920
  Block   90: 0090_PM1000_20251011_111803_2025-10-11_12-57-18.mat.csv | samples=16384 | start=2025/10/11 12:56:15.020045000 | end=2025/10/11 12:56:15.187806920
  Block   91: 0091_PM1000_20251011_111803_2025-10-11_12-59-10.mat.csv | samples=16384 | start=2025/10/11 12:58:06.834092000 | end=2025/10/11 12:58:07.001853919
  Block   92: 0092_PM1000_20251011_111803_2025-10-11_13-00-01.mat.csv | samples=16384 | start=2025/10/11 12:59:58.859717000 | end=2025/10/11 12:59:59.027478919
  Block   93: 0093_PM1000_20251011_111803_2025-10-11_13-01-53.mat.csv | samples=16384 | start=2025/10/11 13:00:50.097572000 | end=2025/10/11 13:00:50.265333920
  Block   94: 0094_PM1000_20251011_111803_2025-10-11_13-03-46.mat.csv | samples=16384 | start=2025/10/11 13:02:42.646727000 | end=2025/10/11 13:02:42.814488920
  Block   95: 0095_PM1000_20251011_111803_2025-10-11_13-04-38.mat.csv | samples=16384 | start=2025/10/11 13:04:36.134460000 | end=2025/10/11 13:04:36.302221920
  Block   96: 0096_PM1000_20251011_111803_2025-10-11_13-05-31.mat.csv | samples=16384 | start=2025/10/11 13:05:29.168854000 | end=2025/10/11 13:05:29.336615920
  Block   97: 0097_PM1000_20251011_111803_2025-10-11_13-06-25.mat.csv | samples=16384 | start=2025/10/11 13:06:22.620182000 | end=2025/10/11 13:06:22.787943920
  Block   98: 0098_PM1000_20251011_111803_2025-10-11_13-07-18.mat.csv | samples=16384 | start=2025/10/11 13:07:16.379213000 | end=2025/10/11 13:07:16.546974920
  Block   99: 0099_PM1000_20251011_111803_2025-10-11_13-08-12.mat.csv | samples=16384 | start=2025/10/11 13:08:10.112958000 | end=2025/10/11 13:08:10.280719920
  Block  100: 0100_PM1000_20251011_111803_2025-10-11_13-09-06.mat.csv | samples=16384 | start=2025/10/11 13:09:04.291277000 | end=2025/10/11 13:09:04.459038919
  Block  101: 0101_PM1000_20251011_111803_2025-10-11_13-10-03.mat.csv | samples=16384 | start=2025/10/11 13:10:00.533316000 | end=2025/10/11 13:10:00.701077920
  Block  102: 0102_PM1000_20251011_111803_2025-10-11_13-10-55.mat.csv | samples=16384 | start=2025/10/11 13:10:53.143843000 | end=2025/10/11 13:10:53.311604920
  Block  103: 0103_PM1000_20251011_111803_2025-10-11_13-11-46.mat.csv | samples=16384 | start=2025/10/11 13:11:43.967651000 | end=2025/10/11 13:11:44.135412920
